,measurement_item_id,date_l,wear_l,from_pred_date,total_wear
0,1025032,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[1.7175, 2.6775, 19.73, 48.5625]",2014-09-11,2.6775
1,1025033,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[4.47, 12.6825, 37.165, 51.64]",2014-09-11,12.6825
2,1025034,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[8.875, 21.335, 40.3675, 50.51]",2014-09-11,21.335
3,1025035,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[11.4825, 22.265, 37.5225, 46.3075]",2014-09-11,22.265
4,1025036,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0)]","[7.3275, 15.3625, 26.86]",2014-09-11,15.3625
5,1025043,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[1.2225, 4.9825, 17.1775, 55.9725]",2014-09-11,4.9825
6,1025044,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[4.2125, 14.04, 35.3725, 60.48]",2014-09-11,14.04
7,1025045,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[9.855, 23.1975, 39.2075, 60.3725]",2014-09-11,23.1975
8,1025046,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[9.665, 23.13, 35.3425, 55.04]",2014-09-11,23.13
9,1025047,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0)]","[5.5425, 15.4225, 23.205]",2014-09-11,15.4225
10,1025054,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[1.76, 3.825, 24.005, 24.6525]",2014-09-11,3.825
11,1025055,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[4.605, 15.0125, 40.7925, 26.92]",2014-09-11,15.0125
12,1025056,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[7.84, 23.68, 42.89, 26.105]",2014-09-11,23.68
13,1025057,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0), datetime.datetime(2020, 4, 29, 0, 0)]","[11.0175, 23.795, 39.4175, 22.6625]",2014-09-11,23.795
14,1025058,"[datetime.datetime(2012, 1, 25, 0, 0), datetime.datetime(2014, 9, 11, 0, 0), datetime.datetime(2017, 3, 11, 0, 0)]","[6.57, 16.3275, 27.95]",2014-09-11,16.3275
